Sp_CommonName,Sp_ScientificName,SpCode,Taxa
Blackeye goby,Rhinogobiops nicholsii,GOBYBE,fish
Kelp clingfish,Rimicola muscarum,CLINGFKE,fish
Northern ronquil,Ronquilus jordani,RONQLNOR,fish
Isopod,Saduria sp.,ISOPODSA,invertebrate
Juvenile salmonid,Salmoninae,UNSAL,fish
Juvenile trout,Salmoninae,UNTROUT,fish
Dolly Varden,Salvelinus malma,DOLLY,fish
Cabezon,Scorpaenichthys marmoratus,CABEZON,fish
Juvenile rockfish,Scorpaenidae,UNROCK,fish
Brown rockfish,Sebastes auriculatus,ROCKBRO,fish
silvergrey rockfish,sebastes brevispinis,ROCKSLG,fish
Copper rockfish,Sebastes caurinus,ROCKCOP,fish
Dark rockfish,Sebastes ciliatus,ROCKDRK,fish
Puget Sound rockfish,Sebastes emphaeus,ROCKPUG,fish
Yellowtail rockfish,Sebastes flavidus,ROCKYT,fish
Quillback rockfish,Sebastes maliger,ROCKQUI,fish
Black rockfish,Sebastes melanops,ROCKBLA,fish
China rockfish,Sebastes nebulosus,ROCKCHI,fish
Bocaccio,Sebastes paucispinis,BOCACCIO,fish
Longfin smelt,Spirinchus thaleichthys,SMELTLF,fish
"""x"" jellyfish, ""cross"", ""southern cross""",Staurophora mertensii,JLYX,invertebrate
Pricklebreast poacher,Stellerina xyosterna,POAPRICK,fish
Juvenile prickleback,Stichaeidae,UNPRICK,fish
Arctic shanny,Stichaeus punctatus,SHANNYAR,fish
Green urchin,Strongylocentrotus droebachiensis,URCHGRN,invertebrate
unidentified dorid nudibranch,Superfamily Doridoidea,NUDDORID,invertebrate
Manacled sculpin,Synchirus gilli,SCULMAN,fish
Bay pipefish,Syngnathus leptorhynchus,PIPEFISH,fish
Brown turban snail,Tegula pulligo,SNAILBT,invertebrate
Helmet crab,Temessus cheiragonus,CRABHEL,invertebrate
Eulachon,Thaleichthys pacificus,EULACHON,fish
Pacific sandfish,Trichodon trichodon,SANDFSHP,fish
Black prickleback,Xiphister atropurpureus,PRICKBLK,fish
Dock shrimp,,SHRMDOC,invertebrate
Northern crangon shrimp,,SHRMNC,invertebrate
unidentified shrimp,,UNSHRM,invertebrate
Ice cube jellyfish,,JLYICE,invertebrate
unidentified krill,,UNKRILL,invertebrate
Decorator crab,,CRABDEC,invertebrate
unidentified amphipods,,UNAMPH,invertebrate
unidentified mysid,,UNMYSID,invertebrate
Stiletto shrimp,,SHRMSTI,invertebrate
unidentified ctenaphore,,JLYCOMB,invertebrate
Isopod,,UNISOPOD,invertebrate
unidentified nudibranch,,UNNUD,invertebrate
Stout coastal shrimp,,SHRMSTC,invertebrate
polychaete,,POLYCHT,invertebrate
unidentified urchin,,UNURCHIN,invertebrate
Scaleworm,,WRMSCA,invertebrate
Stimpson's shrimp,,SHRMSTP,invertebrate
Red turban snail,,SNAILRT,invertebrate
Leafy horn mouth snail,,SNAILLH,invertebrate
Spotted aglajid bubble snail,,BSNAILSA,invertebrate
Clinging jellyfish,,JLYCLNG,invertebrate
Tank shrimp,,SHRMTAN,invertebrate
unidentified isopod,,ISOPODU,invertebrate
unidentified snail,,UNSNAIL,invertebrate
unidentified jellyfish,,UNJLY,invertebrate
unidentified Tunicate,,TUNICAT,invertebrate
unidentified jellyfish,,JLYUN,invertebrate
unidentified cockle,,UNCOCKL,invertebrate
Olive snail,,SNAILOLV,invertebrate
Mysid,,MYSID,invertebrate
unidentified Pandalid shrimp,,SHRMPAN,invertebrate
blade shrimp,,SHRMBLD,invertebrate
Kelp crab,,CRABKE,invertebrate
unidentified worm,,UNWRM,invertebrate
unidentified pillbug,,PILLBUG,invertebrate
unidentfied moon snail,,SNAILMOO,invertebrate
Octopus,,OCTOPUS,invertebrate
Stout shrimp,,SHRMSTO,invertebrate
unident. Heptacarpus shrimp,,SHRMHEP,invertebrate
unidentified invertebrate,,UNINVERT,invertebrate
unidentified crab,,UNCRAB,invertebrate
unidentified sea lice,,SEALICE,invertebrate
unidentified brittlestar,,BRSTRUN,invertebrate
unidentified chiton,,UNCHITON,invertebrate
"""Naked"" pteropod (i.e.,  large blob)",,PTRPODNA,invertebrate
deep blade shrimp,,SHRMDB,invertebrate
Rough patch shrimp,,SHRMROU,invertebrate
Sidestripe shrimp,,SHRMSID,invertebrate
unidentified clam,,UNCLAM,invertebrate
Skeleton shrimp,,SHRMSK,invertebrate
unidentfied pink shrimp,,SHRMPNK,invertebrate
ghost shrimp,,SHRMGHO,invertebrate
Unknown juvenile teleostei,Teleostei,UNFISH,fish
Grunt Sculpin,Rhamphocottus richardsonii,SCULGRU,fish
Giant wyrmouth,Cryptacanthodes giganteus,WRYGI,fish
Slender eelblenny,Lumpenus fabricii,SLENEEL,fish
