Date,Site_Name,Site_Number,Otter_time,Surveyors,Data_Enterer,Lat,Long,Swell,Aspect,Cloud_Cover,Rock_type,Rugosity_sm,LT_time,LT_height,Transect_Num,Rugosity_lg_R,Rugosity_lg_T,Transect_max_length,Transect_max_relht,Adj_max,Transect_min_length,Transect_min_relht,Adj_min
06/02/2018,Diver,2014.03,2010,"Ashley, Sarah, Lia, Justin, Stacey","Ashley, Ashley",55.177617,-133.25715,0.75,44,100,Karst,4,1008,-0.3,1,NA,NA,19.4,3.68,0,0.15,0.76,0
06/02/2018,Diver,2014.03,2010,"Ashley, Sarah, Lia, Justin, Stacey","Ashley, Ashley",55.177617,-133.25715,0.75,44,100,Karst,4,1008,-0.3,2,NA,NA,11.5,3.55,0,0.4,0.5,0
06/02/2018,Diver,2014.03,2010,"Ashley, Sarah, Lia, Justin, Stacey","Ashley, Ashley",55.177617,-133.25715,0.75,44,100,Karst,4,1008,-0.3,3,NA,NA,14.3,3.75,0,0.3,0.46,0
06/18/2018,BreezyBay,2014.04,2010,"Ashley, Sarah, Talia, Liz",Ashley,55.151883,-133.062913,0.25,341,5,GreyWacke,3,1119,-0.38,1,12.5,11.6,12.3,4.86,-0.21,0.1,1.02,0
06/18/2018,BreezyBay,2014.04,2010,"Ashley, Sarah, Talia, Liz",Ashley,55.151883,-133.062913,0.25,341,5,GreyWacke,3,1119,-0.38,2,17.9,15.9,16.4,5.18,-0.21,0.3,0.94,0
06/18/2018,BreezyBay,2014.04,2010,"Ashley, Sarah, Talia, Liz",Ashley,55.151883,-133.062913,0.25,298,5,GreyWacke,3,1119,-0.38,3,21.4,20,19.7,4.74,-0.21,0.2,0.99,0
07/01/2018,McFarland,2014.05,2010,"Ashley, Sarah, Traviss, Adri",Ashley,55.06216,-132.93269,0.5,93,75,NA,1,943,-0.28,1,9,8.4,8.6,3.96,0,0,0.52,0
07/01/2018,McFarland,2014.05,2010,"Ashley, Sarah, Traviss, Adri",Ashley,55.06216,-132.93269,0.5,93,75,NA,1,943,-0.28,2,14.5,13,12.1,3.92,0,0,0.45,0
07/01/2018,McFarland,2014.05,2010,"Ashley, Sarah, Traviss, Adri",Ashley,55.06216,-132.93269,0.5,93,75,NA,1,943,-0.28,3,10.45,10,10.05,3.94,0,0.67,0.6,0
08/11/2018,EekInlet,2014.06,2010,"Ashley, Sarah, Sydney, Nicole, Ken, Cynthia, Ken, Kei",Ashley,55.15036,-132.652308,0,175,0,NA,2,733,-0.71,1,11.8,11.2,14.1,5.27,-0.21,0.8,0.95,0
08/11/2018,EekInlet,2014.06,2010,"Ashley, Sarah, Sydney, Nicole, Ken, Cynthia, Ken, Kei",Ashley,55.15036,-132.652308,0,175,0,NA,2,733,-0.71,2,14.7,13.2,14.3,5.04,-0.21,0.97,0.32,0
08/11/2018,EekInlet,2014.06,2010,"Ashley, Sarah, Sydney, Nicole, Ken, Cynthia, Ken, Kei",Ashley,55.15036,-132.652308,0,175,0,NA,2,733,-0.71,3,15.2,14.1,14.85,5.09,-0.21,0.75,0.56,0
08/12/2018,DrSuess,2014.07,2010,"Ashley, Sarah, Nicole, Sydney, Kei, Ken, Ken, Kenichi",Ashley,55.25404,133.09889,0,17,100,NA,2,818,-0.81,1,27.8,25.1,25.8,5.03,-0.21,0,0.34,0
08/12/2018,DrSuess,2014.07,2010,"Ashley, Sarah, Nicole, Sydney, Kei, Ken, Ken, Kenichi",Ashley,55.25404,133.09889,0,17,100,NA,2,818,-0.81,2,24.9,22,27,4.87,-0.21,0,0.05,0
08/12/2018,DrSuess,2014.07,2010,"Ashley, Sarah, Nicole, Sydney, Kei, Ken, Ken, Kenichi",Ashley,55.25404,133.09889,0,17,100,NA,2,818,-0.81,3,27.2,25.6,27.9,4.72,0,0,0.16,0
