"","site_name","site_code","otter_region","latitude_N","longitude_E","layer_number","layer_thickness_cm","layer_volume_cm3","na.rm","dry_bulk_density","organic_dw_g","inorganic_dw_g","layer_depth_cm","organic_dw_percent","inorganic_dw_percent","organic_density","inorganic_density"
"29","Nossuk Bay a","H_02_a","High",55.7073,-133.342,9,1.4,27.4889357189107,TRUE,1.18367696489667,1.32346,NA,16,4.22169900848482,NA,1.56654911596216,NA
"30","Nossuk Bay a","H_02_a","High",55.7073,-133.342,10,1.2,23.5619449019235,TRUE,1.22774796904132,1.08459,NA,18,3.93301840369328,NA,1.33160316974252,NA
"31","Nossuk Bay a","H_02_a","High",55.7073,-133.342,11,1.4,27.4889357189107,TRUE,0.990574909063051,1.21851,NA,20,4.68703841609019,NA,1.20702543244242,NA
"32","Nossuk Bay a","H_02_a","High",55.7073,-133.342,12,1.4,27.4889357189107,TRUE,1.18761600426536,1.17606,1.01823,22,3.78241543146765,3.40275888711475,1.39670767797632,1.20926624402312
"33","Nossuk Bay a","H_02_a","High",55.7073,-133.342,13,1.4,27.4889357189107,TRUE,1.08869802403488,1.11199,NA,24,3.89648706806684,NA,1.21062131574655,NA
"34","Nossuk Bay a","H_02_a","High",55.7073,-133.342,14,1.2,23.5619449019235,TRUE,1.22312526066757,0.923119999999997,NA,26,3.34744905322658,NA,1.12909139062744,NA
"35","Nossuk Bay a","H_02_a","High",55.7073,-133.342,15,1.4,27.4889357189107,TRUE,1.59633681160716,1.14886,NA,28,2.69694119270972,NA,1.833967509383,NA
"36","Nossuk Bay a","H_02_a","High",55.7073,-133.342,16,1.5,29.4524311274043,TRUE,1.41365681562565,1.38593,NA,30,3.43733320899447,NA,1.95922939048005,NA
"37","Nossuk Bay a","H_02_a","High",55.7073,-133.342,17,1.5,29.4524311274043,TRUE,1.56653655518,1.19275,1.14025000000001,32,2.66824901122108,2.61959806256574,1.86848647619094,1.786243307044
"38","Nossuk Bay a","H_02_a","High",55.7073,-133.342,18,1.4,27.4889357189107,TRUE,1.52705475501994,0.951560000000001,NA,34,2.3510006749899,NA,1.45308422268677,NA
"39","Nossuk Bay a","H_02_a","High",55.7073,-133.342,19,1.4,27.4889357189107,TRUE,1.42492857491946,1.10317000000001,NA,36,2.90673071906655,NA,1.57193845599391,NA
"40","Nossuk Bay a","H_02_a","High",55.7073,-133.342,20,1.5,29.4524311274043,TRUE,1.52619183813915,1.13711,NA,38,2.61905831274796,NA,1.73544800106641,NA
"41","Nossuk Bay a","H_02_a","High",55.7073,-133.342,21,1.5,29.4524311274043,TRUE,1.74233800184503,1.31716,NA,40,2.6490124828348,NA,2.2949379225102,NA
"42","Chusini Cove a","H_03_a","High",55.80692,-133.171,1,1.1,21.5984494934298,TRUE,0.508992092388121,0.53322,NA,0,5.39032931129298,NA,0.271404763503194,NA
"43","Chusini Cove a","H_03_a","High",55.80692,-133.171,2,1.2,23.5619449019235,TRUE,0.614614373315924,1.51952,0.92765,2,10.5559901242527,9.90680035925701,0.933918832541012,0.570147023406516
"44","Chusini Cove a","H_03_a","High",55.80692,-133.171,3,1.1,21.5984494934298,TRUE,0.572570267313026,0.737869999999999,NA,4,6.6753576197524,NA,0.422482423142262,NA
"45","Chusini Cove a","H_03_a","High",55.80692,-133.171,4,1.2,23.5619449019235,TRUE,0.678992760003186,0.800690000000001,NA,6,5.37057209011567,NA,0.543662713006952,NA
"46","Chusini Cove a","H_03_a","High",55.80692,-133.171,5,1,19.6349540849362,TRUE,0.703194921682693,0.638779999999999,NA,8,5.00597554142323,NA,0.44918685207247,NA
"47","Chusini Cove a","H_03_a","High",55.80692,-133.171,6,1.1,21.5984494934298,TRUE,0.763688615935952,0.678109999999998,NA,10,4.43448264587113,NA,0.517864887352327,NA
"48","Chusini Cove a","H_03_a","High",55.80692,-133.171,7,1.2,23.5619449019235,TRUE,0.812925676540241,0.75977,1.23537,12,4.31019908936499,8.44246016830656,0.617636541264978,1.00426399302751
"49","Chusini Cove a","H_03_a","High",55.80692,-133.171,8,1.3,25.5254403104171,TRUE,0.886814868802165,0.889330000000001,NA,14,4.181841180036,NA,0.78867106727183,NA
"50","Chusini Cove a","H_03_a","High",55.80692,-133.171,9,1.2,23.5619449019235,TRUE,0.849489720959582,0.971520000000002,NA,16,5.19275605399287,NA,0.825296253706655,NA
"51","Chusini Cove a","H_03_a","High",55.80692,-133.171,10,1.2,23.5619449019235,TRUE,0.75076866844536,0.825629999999999,NA,18,5.05348010907187,NA,0.619857135728541,NA
"52","Chusini Cove a","H_03_a","High",55.80692,-133.171,11,1.1,21.5984494934298,TRUE,0.877214357714124,0.929279999999999,NA,20,5.28311884117953,NA,0.81517775833658,NA
"53","Chusini Cove a","H_03_a","High",55.80692,-133.171,12,1,19.6349540849362,TRUE,0.805564399671036,0.61594,0.74783,22,4.32845187255403,4.48384489564896,0.496179336333378,0.602425225005991
"54","Chusini Cove a","H_03_a","High",55.80692,-133.171,13,1.2,23.5619449019235,TRUE,0.942127659342242,-0.0902700000000038,NA,24,-0.449395578628564,NA,-0.0850458638088278,NA
"55","Chusini Cove a","H_03_a","High",55.80692,-133.171,14,1.1,21.5984494934298,TRUE,1.21761888546675,0.565300000000001,NA,26,2.29187630598029,NA,0.688319955954357,NA
"56","Chusini Cove a","H_03_a","High",55.80692,-133.171,15,1.1,21.5984494934298,TRUE,1.04159328690902,0.602110000000003,NA,28,2.8282893760299,NA,0.627153733980793,NA
"57","Chusini Cove a","H_03_a","High",55.80692,-133.171,16,1.1,21.5984494934298,TRUE,1.12269957190104,0.658719999999999,NA,30,2.92174770829184,NA,0.739544662002655,NA
"58","Chusini Cove a","H_03_a","High",55.80692,-133.171,17,1,19.6349540849362,TRUE,0.891820267277029,0.561140000000002,0.766530000000003,32,3.51927971230639,3.49617306040687,0.500436024779834,0.683606989475864
"59","Chusini Cove a","H_03_a","High",55.80692,-133.171,18,1,19.6349540849362,TRUE,0.935691518326242,0.706290000000003,NA,34,4.11988252072951,NA,0.660869562478644,NA
"60","Chusini Cove a","H_03_a","High",55.80692,-133.171,19,1,19.6349540849362,TRUE,0.960631734528514,0.669339999999998,NA,36,3.77946371299248,NA,0.642989245189314,NA
"61","Chusini Cove a","H_03_a","High",55.80692,-133.171,20,1,19.6349540849362,TRUE,0.863460638953416,0.753799999999998,NA,38,4.75923498675394,NA,0.650876629643083,NA
"62","Chusini Cove a","H_03_a","High",55.80692,-133.171,21,1.1,21.5984494934298,TRUE,0.843235529732826,0.812140000000003,NA,40,4.71933238769259,NA,0.68482530311722,NA
"63","Chusini Cove a","H_03_a","High",55.80692,-133.171,22,1.1,21.5984494934298,TRUE,0.900150726371082,0.960529999999999,1.20952,42,5.23879257919983,7.36126123494301,0.864621777201214,1.08875030656036
"64","Chusini Cove a","H_03_a","High",55.80692,-133.171,23,1.2,23.5619449019235,TRUE,0.9354911104219,0.744190000000003,NA,44,3.64652086267202,NA,0.696183129464877,NA
"65","Chusini Cove a","H_03_a","High",55.80692,-133.171,24,1.1,21.5984494934298,TRUE,0.94084068424363,0.68281,NA,46,3.59304470822989,NA,0.642415427608393,NA
"66","Chusini Cove a","H_03_a","High",55.80692,-133.171,25,0.9,17.6714586764426,TRUE,0.893031542497254,0.884510000000001,NA,48,6.11679100658629,NA,0.789895329654246,NA
"67","Chusini Cove a","H_03_a","High",55.80692,-133.171,26,1.1,21.5984494934298,TRUE,0.909937077010016,1.18704,NA,50,6.44004476955236,NA,1.08013170789397,NA
"68","Chusini Cove a","H_03_a","High",55.80692,-133.171,27,1.1,21.5984494934298,TRUE,1.09720514924966,0.947240000000001,0.487819999999999,52,4.30106745697866,2.82495821804447,1.03931660557525,0.53523861590697
"69","Chusini Cove a","H_03_a","High",55.80692,-133.171,28,1.1,21.5984494934298,TRUE,1.15638624928135,1.00847,NA,54,4.33098189307975,NA,1.16618084081276,NA
"70","Chusini Cove a","H_03_a","High",55.80692,-133.171,29,1.2,23.5619449019235,TRUE,0.905398518195266,1.13497,NA,56,5.72292543511772,NA,1.02760015619608,NA
"71","Chusini Cove a","H_03_a","High",55.80692,-133.171,30,1.1,21.5984494934298,TRUE,0.977817875603729,1.32533,NA,58,6.70963476274564,NA,1.29593136507389,NA
"72","Chusini Cove a","H_03_a","High",55.80692,-133.171,31,1.1,21.5984494934298,TRUE,0.766410570584497,1.15378,NA,60,7.58052891169758,NA,0.884269188128979,NA
"73","Chusini Cove a","H_03_a","High",55.80692,-133.171,32,1.3,25.5254403104171,TRUE,0.638908077653981,1.0548,NA,62,7.03211720195336,NA,0.673920240309418,NA
"74","Chusini Cove a","H_03_a","High",55.80692,-133.171,33,1.1,21.5984494934298,TRUE,0.803864648028625,1.0213,0.437860000000001,64,6.41226876152111,3.10952949422743,0.820986965031635,0.351980174785814
"75","Chusini Cove a","H_03_a","High",55.80692,-133.171,34,1.3,25.5254403104171,TRUE,0.358915258212457,0.49849,NA,66,6.13191822796925,NA,0.178915667066328,NA
"76","Kaguk Cove a","H_04_a","High",55.73361,-133.29,1,1.3,25.5254403104171,TRUE,1.19324092472442,1.17248,NA,0,4.02851377431623,NA,1.39905111942089,NA
"77","Kaguk Cove a","H_04_a","High",55.73361,-133.29,2,1.3,25.5254403104171,TRUE,0.716926320465145,0.62969,1.02324,2,3.76090377798549,6.34893452265722,0.451441334733697,0.733587688152756
"78","Kaguk Cove a","H_04_a","High",55.73361,-133.29,3,1.3,25.5254403104171,TRUE,0.474077228554663,0.46691,NA,4,4.37507320524173,NA,0.221351398784458,NA
"79","Kaguk Cove a","H_04_a","High",55.73361,-133.29,4,1.2,23.5619449019235,TRUE,0.863257684569985,0.786110000000001,NA,6,4.13389418816894,NA,0.678615498417312,NA
"80","Kaguk Cove a","H_04_a","High",55.73361,-133.29,5,1.2,23.5619449019235,TRUE,0.934123651150855,0.762099999999997,NA,8,3.67259763153353,NA,0.711895634542063,NA
"81","Kaguk Cove a","H_04_a","High",55.73361,-133.29,6,1.3,25.5254403104171,TRUE,0.95600231389706,0.90898,NA,10,3.97590261317465,NA,0.868986983286149,NA
"82","Kaguk Cove a","H_04_a","High",55.73361,-133.29,7,1.2,23.5619449019235,TRUE,1.03659184764523,0.834959999999999,0.791559999999997,12,3.63384257439833,3.57450736274637,0.865512729109862,0.820524642922057
"83","Kaguk Cove a","H_04_a","High",55.73361,-133.29,8,1.2,23.5619449019235,TRUE,1.06945713118712,0.878120000000003,NA,14,3.66279067342342,NA,0.939111696038035,NA
"84","Kaguk Cove a","H_04_a","High",55.73361,-133.29,9,1.2,23.5619449019235,TRUE,1.12841109300063,0.959499999999998,NA,16,3.83746122044464,NA,1.0827104437341,NA
"85","Kaguk Cove a","H_04_a","High",55.73361,-133.29,10,1.2,23.5619449019235,TRUE,1.03133633921775,0.953579999999999,NA,18,4.17837514060027,NA,0.983461706351258,NA
"86","Kaguk Cove a","H_04_a","High",55.73361,-133.29,11,1.3,25.5254403104171,TRUE,1.2181729138404,0.0730700000000013,NA,20,0.246085930364455,NA,0.0890118948143197,NA
