"sp_code","total"
"COCKSSL",9
"CODPAC",112
"FLOUNST",13
"GREENMAS",1
"GREENWHI",45
"GUNNCRE",1115
"GUNNPEN",27
"HERRING",3
"LINGCOD",2
"PERCHSH",1677
"PIPEFISH",554
"POATUBE",145
"PRICKSN",2552
"ROCKBRO",3
"SALCHUM",10
"SALCOHO",3
"SANDLNCP",91
"SCULBUF",8
"SCULGRT",151
"SCULMAN",1
"SCULPSTG",118
"SCULSAIL",1
"SCULSILV",19
"SDABPAC",16
"SOLEENG",61
"SOLEROC",39
"STICK3",4082
"TUBESNT",59
"UNARTE",60
"UNFISH",2
"UNGUNN",4
"UNLORD",50
