"","site_name","bay_ID","sample_date","quadrat_location_m","quadrat_no","primary_sediment","secondary_sediment","common_name","scientific_name","species_code","size_mm","samplers","notes"
"48","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",21.5," Carter, Emma",""
"49","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.2," Carter, Emma",""
"50","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7," Carter, Emma",""
"51","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",24.4," Carter, Emma",""
"52","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",30.6," Carter, Emma",""
"53","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",25.5," Carter, Emma",""
"54","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20.4," Carter, Emma",""
"55","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",21.1," Carter, Emma",""
"56","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",31.4," Carter, Emma",""
"57","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",16.3," Carter, Emma",""
"58","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",23.2," Carter, Emma",""
"59","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",20," Carter, Emma",""
"60","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",26.7," Carter, Emma",""
"61","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",18.8," Carter, Emma",""
"62","Guktu Bay","GUKT_A",20210725,34,4,3,7,"steamer clam","Protothaca staminea","CLAMST",22.5," Carter, Emma",""
"63","Guktu Bay","GUKT_A",20210725,34,4,3,7,"pointed macoma","Macoma inquinata","CLMPOI",19," Carter, Emma",""
"64","Guktu Bay","GUKT_A",20210725,34,4,3,7,"pointed macoma","Macoma inquinata","CLMPOI",20.8," Carter, Emma",""
"65","Guktu Bay","GUKT_A",20210725,34,4,3,7,"pointed macoma","Macoma inquinata","CLMPOI",23.2," Carter, Emma",""
"66","Guktu Bay","GUKT_A",20210725,34,4,3,7,"butter clam","Saxidomus gigantea","CLAMBU",18.8," Carter, Emma",""
"67","Guktu Bay","GUKT_A",20210725,50,5,2,4,"steamer clam","Protothaca staminea","CLAMST",22," Carter, Emma",""
"68","Guktu Bay","GUKT_A",20210725,50,5,2,4,"cockle","Clinocardium nutallii","CLAMCK",20.3," Carter, Emma",""
"69","Guktu Bay","GUKT_A",20210725,50,5,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",31.2," Carter, Emma",""
"70","Guktu Bay","GUKT_A",20210725,50,5,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",41.5," Carter, Emma",""
"71","Guktu Bay","GUKT_A",20210725,50,5,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",33," Carter, Emma",""
"72","Guktu Bay","GUKT_A",20210725,50,5,2,4,"pointed macoma","Macoma inquinata","CLMPOI",41.1," Carter, Emma",""
"73","Guktu Bay","GUKT_A",20210725,50,5,2,4,"pointed macoma","Macoma inquinata","CLMPOI",33.8," Carter, Emma",""
"74","Guktu Bay","GUKT_A",20210725,50,5,2,4,"pointed macoma","Macoma inquinata","CLMPOI",30.4," Carter, Emma",""
"75","Guktu Bay","GUKT_A",20210725,60,6,2,3,"cockle","Clinocardium nutallii","CLAMCK",19.8," Carter, Emma",""
"76","Guktu Bay","GUKT_A",20210725,60,6,2,3,"bentnose macoma","Macoma nasuta","CLAMMB",30.4," Carter, Emma",""
"77","Guktu Bay","GUKT_A",20210725,60,6,2,3,"bentnose macoma","Macoma nasuta","CLAMMB",33.3," Carter, Emma",""
"78","Guktu Bay","GUKT_A",20210725,60,6,2,3,"pointed macoma","Macoma inquinata","CLMPOI",33.3," Carter, Emma",""
"79","Guktu Bay","GUKT_A",20210725,60,6,2,3,"pointed macoma","Macoma inquinata","CLMPOI",33.8," Carter, Emma",""
"80","Guktu Bay","GUKT_A",20210725,60,6,2,3,"pointed macoma","Macoma inquinata","CLMPOI",25.6," Carter, Emma",""
"81","Guktu Bay","GUKT_A",20210725,67,7,3,4,"steamer clam","Protothaca staminea","CLAMST",32.3," Carter, Emma",""
"82","Guktu Bay","GUKT_A",20210725,67,7,3,4,"steamer clam","Protothaca staminea","CLAMST",26.6," Carter, Emma",""
"83","Guktu Bay","GUKT_A",20210725,67,7,3,4,"bentnose macoma","Macoma nasuta","CLAMMB",41.1," Carter, Emma",""
"84","Guktu Bay","GUKT_A",20210725,67,7,3,4,"pointed macoma","Macoma inquinata","CLMPOI",43.9," Carter, Emma",""
"85","Guktu Bay","GUKT_A",20210725,67,7,3,4,"pointed macoma","Macoma inquinata","CLMPOI",31.3," Carter, Emma",""
"86","Guktu Bay","GUKT_A",20210725,67,7,3,4,"pointed macoma","Macoma inquinata","CLMPOI",37.4," Carter, Emma",""
"87","Guktu Bay","GUKT_A",20210725,76,8,3,4,"steamer clam","Protothaca staminea","CLAMST",29.9," Carter, Emma",""
"88","Guktu Bay","GUKT_A",20210725,76,8,3,4,"cockle","Clinocardium nutallii","CLAMCK",24.1," Carter, Emma",""
"89","Guktu Bay","GUKT_A",20210725,76,8,3,4,"cockle","Clinocardium nutallii","CLAMCK",23.9," Carter, Emma",""
"90","Guktu Bay","GUKT_A",20210725,76,8,3,4,"pointed macoma","Macoma inquinata","CLMPOI",33.6," Carter, Emma",""
"91","Guktu Bay","GUKT_A",20210725,80,9,3,4,"bentnose macoma","Macoma nasuta","CLAMMB",33.7," Carter, Emma",""
"92","Guktu Bay","GUKT_A",20210725,80,9,3,4,"bentnose macoma","Macoma nasuta","CLAMMB",41," Carter, Emma",""
"93","Guktu Bay","GUKT_A",20210725,80,9,3,4,"pointed macoma","Macoma inquinata","CLMPOI",38.4," Carter, Emma",""
"94","Guktu Bay","GUKT_A",20210725,80,9,3,4,"pointed macoma","Macoma inquinata","CLMPOI",36.6," Carter, Emma",""
"95","Guktu Bay","GUKT_A",20210725,96,10,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",34.6," Carter, Emma",""
"96","Guktu Bay","GUKT_A",20210725,96,10,2,4,"bentnose macoma","Macoma nasuta","CLAMMB",36.2," Carter, Emma",""
"97","Guktu Bay","GUKT_A",20210725,96,10,2,4,"pointed macoma","Macoma inquinata","CLMPOI",27.2," Carter, Emma",""
"98","Guktu Bay","GUKT_A",20210725,96,10,2,4,"pointed macoma","Macoma inquinata","CLMPOI",26.2," Carter, Emma",""
"99","Guktu Bay","GUKT_A",20210725,96,10,2,4,"geoduck","Panopea generosa","CLAMGD",69.4," Carter, Emma","estimate based on siphon"
"100","Shinaku","SHIN_A",20210722,2,1,3,7,"butter clam","Saxidomus gigantea","CLAMBU",52.8,"Emma, Ginny",""
"101","Shinaku","SHIN_A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",24.7,"Emma, Ginny",""
"102","Shinaku","SHIN_A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",30.2,"Emma, Ginny",""
"103","Shinaku","SHIN_A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",34.9,"Emma, Ginny",""
"104","Shinaku","SHIN_A",20210722,2,1,3,7,"steamer clam","Protothaca staminea","CLAMST",33.1,"Emma, Ginny",""
