site,bay_code,bay_sample,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
Shinaku,SHIN,A,7/14/2022,20220714,Outside,1,10,3,Pebble,Course sand,6,5,Sue,
Shinaku,SHIN,A,7/14/2022,20220714,Outside,2,20,0,Course sand,Pebble,5,6,Sue,
Shinaku,SHIN,A,7/14/2022,20220714,Outside,3,30,0,Course sand,Muddy sand,5,3,Sue,
Shinaku,SHIN,A,7/14/2022,20220714,Outside,4,40,0,Course sand,Muddy sand,5,3,Sue,
Shinaku,SHIN,A,7/14/2022,20220714,Outside,5,50,0,Course sand,Muddy sand,5,3,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Inside,1,10,0,Mud,Sandy mud,1,2,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Inside,2,20,0,Mud,Mud,1,1,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Inside,3,30,4,Mud,Sandy mud,1,2,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Inside,4,40,2,Mud,Mud,1,1,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Inside,5,50,5,Mud,Course sand,1,5,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Edge,1,10,2,Muddy sand,Course sand,3,5,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Edge,2,20,0,Muddy sand,Course sand,3,5,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Edge,3,30,0,Course sand,Muddy sand,5,3,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Edge,4,40,2,Course sand,Muddy sand,5,3,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Edge,5,50,0,Course sand,Muddy sand,5,3,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Outside,1,10,1,Mud,Sandy mud,1,2,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Outside,2,20,0,Mud,Sandy mud,1,2,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Outside,3,30,0,Mud,Sandy mud,1,2,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Outside,4,40,4,Sandy mud,Mud,2,1,Sue,
Nossuk,NOSK,A,7/13/2022,20220713,Outside,5,50,2,Course sand,Pebble,5,6,Sue,
Guktu,GUKT,A,7/12/2022,20220712,Inside,1,10,0,Mud,Mud,1,1,Carter,
Guktu,GUKT,A,7/12/2022,20220712,Inside,2,20,0,Mud,Mud,1,1,Carter,
Guktu,GUKT,A,7/12/2022,20220712,Inside,3,30,0,Mud,Mud,1,1,Carter,
Guktu,GUKT,A,7/12/2022,20220712,Inside,4,40,0,Mud,Mud,1,1,Carter,
Guktu,GUKT,A,7/12/2022,20220712,Inside,5,50,0,Mud,Mud,1,1,Carter,
Guktu,GUKT,A,7/12/2022,20220712,Edge,1,10,1,Sandy mud,Pebble,2,6,Jess Emily,
Guktu,GUKT,A,7/12/2022,20220712,Edge,2,20,2,Muddy sand,Sand,3,4,Jess Emily,
Guktu,GUKT,A,7/12/2022,20220712,Edge,3,30,3,Sandy mud,Course sand,2,5,Jess Emily,
Guktu,GUKT,A,7/12/2022,20220712,Edge,4,40,3,Sandy mud,Mud,2,1,Jess Emily,
Guktu,GUKT,A,7/12/2022,20220712,Edge,5,50,1,Sandy mud,Mud,2,1,Jess Emily,
Guktu,GUKT,A,7/12/2022,20220712,Outside,1,10,1,Sandy mud,Sandy mud,2,2,Ginny,
Guktu,GUKT,A,7/12/2022,20220712,Outside,2,20,6,Muddy sand,Pebble,3,6,Ginny,
Guktu,GUKT,A,7/12/2022,20220712,Outside,3,30,8,Muddy sand,Pebble,3,6,Ginny,
Guktu,GUKT,A,7/12/2022,20220712,Outside,4,40,9,Course sand,Pebble,5,6,Ginny,
Guktu,GUKT,A,7/12/2022,20220712,Outside,5,50,7,Course sand,Mud,5,1,Ginny,
