"","site","YYYYMMDD","trans_type","trans_bin","trans_m","pit_bin","sed1_type","sed2_type","sed1_no","sed2_no","sedno_avg","field_collector","date","place_name","bay_code","bay_sample","latitude","longitude"
"35","2017_H_05",20170725,"Edge",5,50,1,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"36","2017_H_05",20170725,"Edge",6,60,0,"Sandy mud","Gravel",2,7,4.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"37","2017_H_05",20170725,"Edge",7,70,0,"Sandy mud","Sandy mud",2,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"38","2017_H_05",20170725,"Edge",8,80,0,"Sandy mud","Sandy mud",2,2,2,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"39","2017_H_05",20170725,"Edge",9,90,0,"Sandy mud","Mud",2,1,1.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"40","2017_H_05",20170725,"Edge",10,100,0,"Sandy mud","Mud",2,1,1.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"41","2017_H_05",20170725,"Inside",1,10,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"42","2017_H_05",20170725,"Inside",2,20,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"43","2017_H_05",20170725,"Inside",3,30,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"44","2017_H_05",20170725,"Inside",4,40,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"45","2017_H_05",20170725,"Inside",5,50,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"46","2017_H_05",20170725,"Inside",6,60,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"47","2017_H_05",20170725,"Inside",7,70,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"48","2017_H_05",20170725,"Inside",8,80,1,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"49","2017_H_05",20170725,"Inside",9,90,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"50","2017_H_05",20170725,"Inside",10,100,0,"Mud","Mud",1,1,1,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"51","2017_H_05",20170725,"Outside",1,10,3,"Sand","Gravel",4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"52","2017_H_05",20170725,"Outside",2,20,6,"Sand","Gravel",4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"53","2017_H_05",20170725,"Outside",3,30,7,"Sand","Gravel",4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"54","2017_H_05",20170725,"Outside",4,40,7,"Sand","Gravel",4,7,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"55","2017_H_05",20170725,"Outside",5,50,6,"Coarse Sand","Gravel",5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"56","2017_H_05",20170725,"Outside",6,60,5,"Coarse Sand","Gravel",5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"57","2017_H_05",20170725,"Outside",7,70,3,"Coarse Sand","Gravel",5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"58","2017_H_05",20170725,"Outside",8,80,14,"Coarse Sand","Gravel",5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"59","2017_H_05",20170725,"Outside",9,90,25,"Coarse Sand","Gravel",5,7,6,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"60","2017_H_05",20170725,"Outside",10,100,5,"Gravel","Sand",7,4,5.5,"Wendel Raymond, Cathy Mattson, Tiff Stephens",2017-07-25,"Naukati Bay","NAUK","A",55.862405,-133.190722
"61","2017_H_06",20170724,"Edge",1,10,15,"Muddy Sand","Pebble",3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"62","2017_H_06",20170724,"Edge",2,20,8,"Sandy mud","Sand",2,4,3,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"63","2017_H_06",20170724,"Edge",3,30,7,"Sandy mud","Sand",2,4,3,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"64","2017_H_06",20170724,"Edge",4,40,9,"Mud","Sandy mud",1,2,1.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"65","2017_H_06",20170724,"Edge",5,50,12,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"66","2017_H_06",20170724,"Edge",6,60,9,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"67","2017_H_06",20170724,"Edge",7,70,15,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"68","2017_H_06",20170724,"Edge",8,80,5,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"69","2017_H_06",20170724,"Edge",9,90,10,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"70","2017_H_06",20170724,"Edge",10,100,6,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"71","2017_H_06",20170724,"Inside",1,10,5,"Muddy Sand","Mud",3,1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"72","2017_H_06",20170724,"Inside",2,20,5,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"73","2017_H_06",20170724,"Inside",3,30,3,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"74","2017_H_06",20170724,"Inside",4,40,3,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"75","2017_H_06",20170724,"Inside",5,50,6,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"76","2017_H_06",20170724,"Inside",6,60,4,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"77","2017_H_06",20170724,"Inside",7,70,2,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"78","2017_H_06",20170724,"Inside",8,80,9,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"79","2017_H_06",20170724,"Inside",9,90,2,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"80","2017_H_06",20170724,"Inside",10,100,7,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"81","2017_H_06",20170724,"Outside",1,10,4,"Muddy Sand","Mud",3,1,2,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"82","2017_H_06",20170724,"Outside",2,20,15,"Pebble","Sand",6,4,5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"83","2017_H_06",20170724,"Outside",3,30,14,"Muddy Sand","Pebble",3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"84","2017_H_06",20170724,"Outside",4,40,22,"Muddy Sand","Pebble",3,6,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"85","2017_H_06",20170724,"Outside",5,50,19,"Mud","Cobble",1,8,4.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"86","2017_H_06",20170724,"Outside",6,60,12,"Mud","Gravel",1,7,4,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"87","2017_H_06",20170724,"Outside",7,70,7,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"88","2017_H_06",20170724,"Outside",8,80,4,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"89","2017_H_06",20170724,"Outside",9,90,2,"Mud","Mud",1,1,1,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"90","2017_H_06",20170724,"Outside",10,100,3,"Mud","Sandy mud",1,2,1.5,"Tiff Stephens, Wendel Raymond, Cathy Mattson",2017-07-24,"Guktu Bay","GUKT","A",55.739816,-133.312022
"91","2017_L_01",20170709,"Edge",1,10,0,"Sand","Gravel",4,7,5.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"92","2017_L_01",20170709,"Edge",2,20,0,"Sand","Gravel",4,7,5.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"93","2017_L_01",20170709,"Edge",3,30,0,"Sand","Gravel",4,7,5.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"94","2017_L_01",20170709,"Edge",4,40,0,"Sand","Sand",4,4,4,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"95","2017_L_01",20170709,"Edge",5,50,0,"Sand","Gravel",4,7,5.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"96","2017_L_01",20170709,"Edge",6,60,0,"Sand","Sand",4,4,4,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"97","2017_L_01",20170709,"Edge",7,70,0,"Sand","Sand",4,4,4,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"98","2017_L_01",20170709,"Edge",8,80,0,"Sand","Sand",4,4,4,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"99","2017_L_01",20170709,"Edge",9,90,0,"Muddy Sand","Muddy Sand",3,3,3,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"100","2017_L_01",20170709,"Edge",10,100,0,"Muddy Sand","Muddy Sand",3,3,3,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"101","2017_L_01",20170709,"Inside",1,10,0,"Sandy mud","Sandy mud",2,2,2,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"102","2017_L_01",20170709,"Inside",2,20,0,"Sandy mud","Sandy mud",2,2,2,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"103","2017_L_01",20170709,"Inside",3,30,0,"Muddy Sand","Sandy mud",3,2,2.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"104","2017_L_01",20170709,"Inside",4,40,0,"Muddy Sand","Sandy mud",3,2,2.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"105","2017_L_01",20170709,"Inside",5,50,0,"Muddy Sand","Sandy mud",3,2,2.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"106","2017_L_01",20170709,"Inside",6,60,0,"Muddy Sand","Sandy mud",3,2,2.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"107","2017_L_01",20170709,"Inside",7,70,0,"Muddy Sand","Sandy mud",3,2,2.5,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"108","2017_L_01",20170709,"Inside",8,80,0,"Muddy Sand","Muddy Sand",3,3,3,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"109","2017_L_01",20170709,"Inside",9,90,0,"Muddy Sand","Muddy Sand",3,3,3,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"110","2017_L_01",20170709,"Inside",10,100,0,"Sand","Sand",4,4,4,"Wendel Raymond",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"111","2017_L_01",20170709,"Outside",1,10,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"112","2017_L_01",20170709,"Outside",2,20,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"113","2017_L_01",20170709,"Outside",3,30,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"114","2017_L_01",20170709,"Outside",4,40,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"115","2017_L_01",20170709,"Outside",5,50,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"116","2017_L_01",20170709,"Outside",6,60,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"117","2017_L_01",20170709,"Outside",7,70,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"118","2017_L_01",20170709,"Outside",8,80,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"119","2017_L_01",20170709,"Outside",9,90,0,"Sand","Sand",4,4,4,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"120","2017_L_01",20170709,"Outside",10,100,0,"Sand","Sand",4,4,4,"Tiff Stephens",2017-07-09,"Soda Bay","SODA","A",55.26366,-132.995
"121","2017_L_02",20170715,"Edge",1,10,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"122","2017_L_02",20170715,"Edge",2,20,0,"Gravel","Sand",7,4,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"123","2017_L_02",20170715,"Edge",3,30,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"124","2017_L_02",20170715,"Edge",4,40,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"125","2017_L_02",20170715,"Edge",5,50,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"126","2017_L_02",20170715,"Edge",6,60,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"127","2017_L_02",20170715,"Edge",7,70,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"128","2017_L_02",20170715,"Edge",8,80,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"129","2017_L_02",20170715,"Edge",9,90,0,"Pebble","Sand",6,4,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"130","2017_L_02",20170715,"Edge",10,100,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"131","2017_L_02",20170715,"Inside",1,10,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"132","2017_L_02",20170715,"Inside",2,20,0,"Sand","Sand",4,4,4,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"133","2017_L_02",20170715,"Inside",3,30,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"134","2017_L_02",20170715,"Inside",4,40,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"135","2017_L_02",20170715,"Inside",5,50,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"136","2017_L_02",20170715,"Inside",6,60,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"137","2017_L_02",20170715,"Inside",7,70,1,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"138","2017_L_02",20170715,"Inside",8,80,0,"Sand","Sand",4,4,4,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"139","2017_L_02",20170715,"Inside",9,90,0,"Sand","Pebble",4,6,5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"140","2017_L_02",20170715,"Inside",10,100,0,"Sand","Sand",4,4,4,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"141","2017_L_02",20170715,"Outside",1,10,0,"Gravel","Sand",7,4,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"142","2017_L_02",20170715,"Outside",2,20,0,"Gravel","Sand",7,4,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
"143","2017_L_02",20170715,"Outside",3,30,0,"Sand","Gravel",4,7,5.5,"Tiff Stephens, Wendel Raymond",2017-07-15,"Goats mouth inlet","GOAT","A",55.192784,-132.900113
